ranking,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_2023,ganancia_2023,activos_2023,pasivos_2023,patrimonio_2023,ingresos_2022,ganancia_2022,activos_2022,pasivos_2022,patrimonio_2022,grupo_niif
28,800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,Comercio,5769458000,306727000,4026519000,2363910000,1662609000,5989577114,310517085,3786886680,2336036602,1450850078,GRUPO 1
29,860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,5720906000,12764000,1518165000,1436396000,81769000,4471729000,-58420000,1446996000,1367923000,79073000,GRUPO 1
30,811000740,ISAGEN S.A. E.S.P.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,D3511 - Generación de energia electrica,Servicios,5530344000,1035150000,23578804000,18149732000,5429072000,4822071366,1233837910,23808061967,18243715599,5564346368,GRUPO 1
31,800249860,CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA,SUPERFINANCIERA,Costa Pacífica,VALLE DEL CAUCA,YUMBO,D3513- Distribución de energía electrica,Servicios,5478062000,441875000,12271384000,7553085000,4718299000,4922173762,474917038,11113986133,6629732419,4484253714,GRUPO 1
32,900331322,VERANO ENERGY (SWITZERLAND) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,5407525470,478527332,11413262802,7380185512,4033077290,4721135104,778050430,12249502781,9464388794,2785113987,10 NIIF Plenas - Individual Grupo 1
33,860066942,CAJA DE COMPENSACION FAMILIAR COMPENSAR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",M7010 - Actividades de administración empresarial,Servicios,5225245000,-32401692,2195760000,1732694000,463066000,4416464722,-133641330,1907401150,1410041553,497359597,GRUPO 1
34,800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",Comercio,5149466005,-53135854,3462428224,2818043072,644385152,4275086080,27412539,2863658935,2424137929,439521006,20 NIIF Plenas - Separado Grupo 1
35,890912462,TAMPA CARGO S.A.S,SUPERTRANSPORTE,Antioquia,ANTIOQUIA,RIONEGRO,H5111 - Transporte aéreo nacional de pasajeros,Servicios,4900955310.786,-247736313.383,2381678954.401,1735866078.688,645812875.713,5095669711.856,123869279.397,2664344878.308,1574196981.217,1090147897.091,GRUPO 1
36,890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",Manufactura,4879121916,-44515646,2849512934,2062853650,786659284,4045274112,43758801,2337074952,1481208738,855866214,20 NIIF Plenas - Separado Grupo 1
37,900226715,COOPERATIVA EMPRESA SOLIDARIA DE SALUD Y DESARROLLO INTEGRAL 'COOSALUD E.S.S.',SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA,O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,4841487360,-33813752,1066681574,843225411,223456163,4079289327,124041552,1124036218,793036019,331000199,GRUPO 3
38,830003564,FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,4809843158,-460563653,974434438,2506631362,-1532196924,3969011928,-703417806,947006741,2037515701,-1090508960,GRUPO 2
39,830126302,FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,4609881028,580458521,7345255877,1955773166,5389482711,5154382848,1621189291,8703437712,2068665707,6634772005,10 NIIF Plenas - Individual Grupo 1
40,890704196,AEROVIAS DE INTEGRACION REGIONAL S.A.,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H5111 - Transporte aéreo,Servicios,4494186582,-26792532,1071289585,1048045467,23244118,3425809138,-371844061,941581823,1435241345,-493659522,GRUPO 1
41,900155107,CENCOSUD COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",Comercio,4425317092,-4709772,5663373589,1685264770,3978108819,4637372416,-8003611,5807530543,1824711952,3982818591,10 NIIF Plenas - Individual Grupo 1
42,900780510,AUTOMOTORES TOYOTA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4511 - Comercio de vehículos automotores nuevos,Comercio,4163255418,213636142,809220780,550685462,258535318,3577610752,150359180,673230085,481399624,191830461,10 NIIF Plenas - Individual Grupo 1
43,816001182,AUDIFARMA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",Comercio,4056909941,19011780,3205359398,3032497818,172861580,3498356224,48564571,2402561248,2201912017,200649231,20 NIIF Plenas - Separado Grupo 1
44,806008394,ASOCIACIÓN MUTUAL SER EMPRESA SOLIDARIA DE SALUD ESS,SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA,O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,3882970098,-99485987,577898109,467161174,110736935,3365271496,1761175,661077246,450998663,210078583,GRUPO 1
45,800007813,VANTI S.A. ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","D3520 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,3825745676,440218003,1912289235,1233376382,678912853,3373951694,349097602,1820520757,1231842015,588678742,
46,800245746,TERMOBARRANQUILLA S.A. E.S.P.,SUPERSERVICIOS,Costa Atlántica,ATLANTICO,SOLEDAD,"D3511 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,3771230360,638251767,3327164740,2065352868,1261811872,2651245053,424593391,3418673587,1861682740,1556990847,
47,830136799,BIOMAX BIOCOMBUSTIBLES S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,3763632392,70001853,1580336163,1036302854,544033309,3085213184,76370897,1470026227,995994772,474031455,20 NIIF Plenas - Separado Grupo 1
48,860016610,INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,D3512 - Transmision d energia electrica,Servicios,3743386000,2457768000,24737995000,8447198000,16290797000,3317125713,2191592152,25492438679,7042194930,18450243749,GRUPO 1
49,899999082,GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",D3512 - Transmision d energia electrica,Servicios,3705547000,2592744000,29181733000,10273461000,18908272000,3589320654,2852794940,31508589983,11006075769,20502514214,GRUPO 1
50,860026895,ITALCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C1090 - Elaboración de alimentos preparados para animales,Manufactura,3666597014,121244137,942808241,477047443,465760798,3439412224,61613241,1020132336,649343789,370788547,20 NIIF Plenas - Separado Grupo 1
51,890901271,CONTEGRAL S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO,C1090 - Elaboración de alimentos preparados para animales,Manufactura,3661018816,150761927,1172245760,580565829,591679931,3522269184,108294131,1296578796,781151802,515426994,10 NIIF Plenas - Individual Grupo 1
52,830078038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0510 - Extracción de hulla (carbón de piedra),Minero,3549559437,748592787,5642769399,1211030326,4431739073,7196638720,2838090163,7950000492,3357147221,4592853271,10 NIIF Plenas - Individual Grupo 1
53,811009788,DISTRACOM S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,G4731 - Comercio al por menor de combustible para automotores,Comercio,3383799821,67135526,1652330678,656282841,996047837,2758663936,101682336,1476181132,548456792,927724340,20 NIIF Plenas - Separado Grupo 1
54,890399003,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,SUPERSERVICIOS,Costa Pacífica,VALLE DEL CAUCA,CALI,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,3331972578,87036032,8438826564,4142336216,4296490348,3051173190,304831555,8271138833,3953877421,4317261412,
55,830028931,Samsung Electronics Colombia S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",Comercio,3126228485,34042150,1398163523,1112931357,285232166,4343339008,33132770,1869313056,1618123040,251190016,10 NIIF Plenas - Individual Grupo 1
56,900493698,GEOPARK COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,3042745811,822824629,3966439830,1643348456,2323091374,4143545856,1208723951,4604080508,2529365524,2074714984,20 NIIF Plenas - Separado Grupo 1
57,890300466,TECNOQUIMICAS S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE DEL CAUCA,CALI,G4669 - Comercio al por mayor de otros productos n.c.p.,Comercio,3039820490,278417207,4106765381,1351150129,2755615252,2821366272,400110240,3599846749,1077509109,2522337640,20 NIIF Plenas - Separado Grupo 1
58,830025205,AES CHIVOR & CIA SCA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","D3511 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,3004342481,665438526,3023758435,1734937483,1288820952,1780365970,543147121,3853691214,2715940137,1137751077,
59,900646156,TRAFIGURA MARKETING COLOMBIA S.A.S E.S.P,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,2984832831,85737108,525567426,506185416,19382010,2766176256,-37556466,1002481605,1073443000,-70961395,10 NIIF Plenas - Individual Grupo 1
60,890304130,ALIMENTOS CARNICOS S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,C1011 - Procesamiento y conservación de carne y productos cárnicos,Manufactura,2938125856,95423153,2664296967,1583831135,1080465832,2784753920,157273066,3039439247,1649513379,1389925868,20 NIIF Plenas - Separado Grupo 1
61,890903939,POSTOBON S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",Manufactura,2937383558,46202119,3511322755,2005566771,1505755984,2602702336,9011334,3429540528,1972250187,1457290341,20 NIIF Plenas - Separado Grupo 1
62,890100251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA,"C2394 - Fabricación de cemento, cal y yeso",Manufactura,2904319000,319976000,14507203000,5748283000,8758920000,2482821091,142228298,17446378296,6146289376,11300088920,GRUPO 1
63,860001697,GASEOSAS LUX SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",Manufactura,2866414000,91682000,2058143000,1192713000,865430000,2549967872,92757000,2070495000,1105884000,964611000,20 NIIF Plenas - Separado Grupo 1
64,900935126,ASMET SALUD EPS SAS,SUPERSALUD,Costa Pacífica,CAUCA,POPAYAN,O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,2845615924,-128032216,255496855,1155289238,-899792383,2487591496,-29178318,269850512,1042567200,-772716688,GRUPO 2
65,900268747,PAREX RESOURCES (COLOMBIA) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,2832171158,1331825724,10231137419,6446421702,3784715717,5495699968,2492185999,11624821895,5533759582,6091062313,10 NIIF Plenas - Individual Grupo 1
66,890301884,COLOMBINA S A,SUPERFINANCIERA,Costa Pacífica,VALLE DEL CAUCA,ZARZAL,"C1082 - Elaboración de cacao, chocolate y productos de confitería",Manufactura,2828890000,129884000,2206571000,1719103000,487468000,2489670121,156090422,2255523879,1715362690,540161189,GRUPO 1
67,860025792,RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S  ,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO,C2910 - Fabricación de vehículos automotores y sus motores,Manufactura,2819180123,-82518301,982259973,936092075,46167898,3730969856,190948627,1041193360,653653161,387540199,20 NIIF Plenas - Separado Grupo 1
68,900092385,UNE EPM TELECOMUNICACIONES S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,J6110 - Actividades de telecomunicaciones alámbricas,Servicios,2792985000,-1144769000,4958406000,4599674000,358732000,2757685851,-473812174,5301696654,4744155334,557541320,GRUPO 1
69,860072134,HOCOL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,2785373768,257851409,4502750496,1770393592,2732356904,3248311552,534625048,4865966987,2060906808,2805060179,20 NIIF Plenas - Separado Grupo 1
70,901021565,EMSSANAR ENTIDAD PROMOTORA DE SALUD S.A.S,SUPERSALUD,Costa Pacífica,NARIÑO,PASTO,Q8699 - Otras actividades de atención de la salud humana,Servicios,2770596226,-448952235,229665520,2133689087,-1904023567,2529616343,-417151680,358831399,1815108592,-1456277193,GRUPO 2
71,800059470,Esenttia S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA,C2013 - Fabricación de plásticos en formas primarias,Manufactura,2753078609,199483277,3040910241,466027054,2574883187,3701298944,249491886,3674255928,631475990,3042779938,10 NIIF Plenas - Individual Grupo 1
72,890112475, CI ENERGIA SOLAR SAS ESWINDOWS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,C2511 - Fabricación de productos metálicos para uso estructural,Manufactura,2736501987,260578851,1681838941,662176155,1019662786,2468854784,366760895,1610238744,850245778,759992966,20 NIIF Plenas - Separado Grupo 1
73,901210452,TERPEL EXPORTACIONES C.I. S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4731 - Comercio al por menor de combustible para automotores,Comercio,2701469298,1083372,205383456,173352795,32030661,2273376512,19264300,192385241,161437952,30947289,10 NIIF Plenas - Individual Grupo 1
