anio,actividad_interna_total,renta_total,iva_interno_total,gmf,patrimonio,consumo_nacional,gasolina,carbono,regimen_simple,actividad_externa_total,iva_externo,arancel,por_clasificar,total_dian
2008,52854172.0,26666889.0,18857401.0,3199639.0,3320867.0,0.0,0.0,0.0,0.0,14142439.0,9713835.0,4428604.0,36206.0,67032817.0
2009,56154875.581953,30693655.83476226,19454512.48257403,3121277.7,2238617.930132,0.0,0.0,0.0,0.0,12727671.808984,8594142.49879377,4133529.31019023,28234.004538,68910781.395475
2010,55603236.297977,28129329.61287731,21659705.63837267,3224922.2,2235366.711596,0.0,0.0,0.0,0.0,14571426.229996,9703215.807716586,4868210.422279415,24127.104155,70198789.632128
2011,69572822.074589,34837404.32418182,25098771.50729027,5069606.199999999,4447797.638349,0.0,0.0,0.0,0.0,16951585.705411002,12561092.335649502,4390493.3697615,56491.39954200001,86580899.179542
2012,82101884.35960099,45859883.21107143,26443588.769303635,5351294.1002,4391723.379354999,0.0,0.0,0.0,0.0,17004039.726513002,13043702.583511386,3960337.1430016165,38950.90233799999,99144874.98845199
2013,89317271.31511101,46510514.44346848,25355298.69732801,5935091.0759,4466766.574380999,1288442.4279890002,2736545.366,0.0,0.0,16320623.494823001,12080300.331059568,4240323.163763433,130347.252265,105768242.06219903
2014,96325168.88770501,39455137.990180016,28315027.901598506,6464683.421,4361286.466573001,1757643.299095,2980884.793,0.0,0.0,18009107.167856,13609156.515790991,4399950.652065009,27436.361972,114361712.41753301
2015,103169061.564183,41410708.84046469,29584355.92205277,6775376.763000001,0.0,1824289.3062429999,3418957.0994949997,0.0,0.0,20520324.481656,15446104.09015946,5074220.391496538,36532.341835,123725918.387674
2016,107164022.152842,43523592.5116142,30686531.43151226,7067990.608,0.0,1843916.2342850002,3747949.864175,0.0,0.0,19576000.548381,14992158.99311582,4583841.555265182,14011.105947,126754033.80717
2017,114917769.285552,56671855.89465527,37516524.27807891,7307440.768999999,0.0,2107550.053057,1619472.343,476861.94678199996,0.0,21414465.999048,17151552.020890817,4262913.978157181,116936.137814,136449171.42241398
2018,121208744.04519801,67910376.01189591,40863559.666357554,7703514.346,0.0,2214708.8202429996,1517545.7700000003,294071.93499999994,0.0,23095635.610935003,19081076.838284947,4014558.7726500537,75199.760435,144379579.41656798
2019,131169148.431302,71153982.54640311,44351763.55447161,8689718.798999999,859265.515479,2419667.9291909994,1623253.5402789998,451045.90099999995,73893.15500000001,26310444.483935006,22032710.166006733,4277734.317928271,141126.029783,157620718.94502002
2020,122354609.776967,69346963.84071016,39667035.07361374,8216315.593,952146.103476,1477518.4479510004,1322732.139769,294901.764142,321519.96900000004,23731765.436726,20319385.168963335,3412380.2677626642,179780.318017,146266155.53171
2021,139615800.20135397,77581293.25498533,46605768.87825497,9856524.38,1002537.6733899999,1530683.843726,1799854.952618,334309.261,599102.087,33833976.621696,29044524.0506509,4789452.571045105,216185.38251900004,173665962.205569
2022,179520437.025409,103189811.47662897,56439519.18236184,12676743.777,62698.72486,2897785.451904,2186240.474985,423903.886,1191782.589,48692600.648146,41635012.91991914,7057587.728226869,167181.329254,228380219.00280902
2023,237178934.511457,147163768.46102032,66265500.7872115,14009341.210412,1211119.917535,3370207.913741,2384057.234,575273.6680000001,1833598.6899999997,41430577.668918006,35239463.20580555,6191114.463112459,308226.74328099994,278917738.923656
2024,226253085.174504,127544350.7694874,69572029.22909503,14888526.138844,1473818.941317,3580545.598443,2560488.001,551994.681,2861341.4275,40419539.188214,33788754.98866484,6630784.199549165,151594.486116,266824218.848834
2025,244842342.276734,137019007.5287534,75549126.29858792,16284428.014376,1239695.441067,4337949.662599,1510307.835,345536.839,3583799.8238,49294003.820505,40711944.32694369,8582059.49356132,326010.894201,294462356.9914401
2026,84882488.644426,46649261.1796847,27896309.39384586,5631401.584000001,57952.210041,1553812.639807,301031.862,73676.20499999999,1114466.448328,15295705.763879,12608426.22402921,2687279.539849792,159660.239219,100337854.647524
